date,obs
1998-01-01,1.5154095074720173
1998-04-01,0.5948374374163728
1998-07-01,1.2202643831408255
1998-10-01,1.4589008949263034
1999-01-01,1.4951630788820978
1999-04-01,1.629084583771437
1999-07-01,1.2342453716235884
1999-10-01,1.8563939562347054
2000-01-01,1.5080779822471264
2000-04-01,1.1807584462011471
2000-07-01,1.4558637677795634
2000-10-01,1.2246557038776174
2001-01-01,2.208591299247029
2001-04-01,1.9803564330022674
2001-07-01,1.911757485564223
2001-10-01,2.637524177569997
2002-01-01,2.7734503748889616
2002-04-01,2.5471562934541274
2002-07-01,2.803675667889142
2002-10-01,2.453161496328606
2003-01-01,2.3247317671595993
2003-04-01,3.518046950195793
2003-07-01,3.5851418181549763
2003-10-01,1.9444010803816003
2004-01-01,3.124818238570576
2004-04-01,2.824751440885157
2004-07-01,2.818854375599937
2004-10-01,2.660674422072841
2005-01-01,3.056461027777489
2005-04-01,3.3223133736723525
2005-07-01,3.1452316920157237
2005-10-01,3.611606500156161
2006-01-01,3.3698043680503327
2006-04-01,2.200098302555169
2006-07-01,3.4437204674315742
2006-10-01,2.673622654248237
2007-01-01,3.1016335202537078
2007-04-01,2.0377872268856168
2007-07-01,2.6041151177324946
2007-10-01,3.1602930311402493
2008-01-01,3.4693863012445347
2008-04-01,2.853050916019991
2008-07-01,3.25619416044828
2008-10-01,2.7927428594895307
2009-01-01,2.4982813147928207
2009-04-01,2.5912240481140785
2009-07-01,2.3885242073549104
2009-10-01,2.9352653734895027
2010-01-01,2.6847251117716397
2010-04-01,2.1632423598332275
2010-07-01,1.6770638743024218
2010-10-01,1.08973037746301
2011-01-01,1.8874996950375937
2011-04-01,1.6675206353744576
2011-07-01,1.5138594647155124
2011-10-01,1.0670165956205797
2012-01-01,0.6276975823740161
2012-04-01,0.24318827586283853
2012-07-01,0.24199911515375128
2012-10-01,-0.4496792984115012
2013-01-01,-0.4447833804771403
2013-04-01,0.15375529468456844
2013-07-01,0.32782255305718677
2013-10-01,0.053856612380399044
2014-01-01,-0.04393398654696945
2014-04-01,0.3784418609322381
2014-07-01,-0.3174037894809052
2014-10-01,-0.4221365879946911
2015-01-01,-0.7773408326400746
2015-04-01,-0.5276849827027899
2015-07-01,-0.018108537605026287
2015-10-01,-0.2280755641103972
2016-01-01,-0.344344382256804
2016-04-01,0.019746237785373877
2016-07-01,-0.6507094811993606
2016-10-01,-0.23488336907701074
2017-01-01,0.49662681064494607
2017-04-01,0.10401638190474333
2017-07-01,-0.6709611855223561
2017-10-01,-1.3687474834381101
2018-01-01,-0.49635125395118024
2018-04-01,-0.5891461209447437
2018-07-01,-1.2444140587101882
2018-10-01,-0.27506135836758905
2019-01-01,-0.3797204768167047
2019-04-01,-0.3544717820498572
2019-07-01,-0.6212495324207158
2019-10-01,-1.042473621229853
2020-01-01,-0.986506242928032
2020-04-01,-0.0897281726643247
2020-07-01,-0.7814197524488322
2020-10-01,-0.7743482439387869
2021-01-01,-0.817275177936213
2021-04-01,-0.1728742431795791
2021-07-01,-0.5127757701866748
2021-10-01,-0.2298794723713958
2022-01-01,-0.827040285999434
2022-04-01,-0.05712729089070656
2022-07-01,-1.249968641242049
2022-10-01,-1.6702601191725253
