date,cpi_level,infl
1915-01-01,4.23203333333333,13.675805441191201
1915-04-01,4.44666666666666,18.623023520976624
1915-07-01,4.59999999999999,17.1906417923948
1915-10-01,4.876,20.103535951943318
1916-01-01,4.9987,16.64953076067284
1916-04-01,5.21336666666666,15.90710884711395
1916-07-01,5.45873333333333,17.116046911587922
1916-10-01,5.85736666666666,18.337491668204574
1917-01-01,6.16403333333333,20.95534465588955
1917-04-01,6.44,21.130269982575633
1917-07-01,6.65476666666666,19.811661726410847
1917-10-01,6.716,13.679261091422346
1918-01-01,6.96133333333333,12.163970169305948
1918-04-01,7.23736666666666,11.672888004550753
1918-07-01,7.63603333333333,13.754488126617392
1918-10-01,8.096,18.687737332981524
1919-01-01,8.0347,14.339863496010352
1919-04-01,7.6054,4.960110114198768
1919-07-01,7.82006666666666,2.381480852886142
1919-10-01,8.21873333333333,1.504598894747522
1920-01-01,8.48853333333333,5.494657130200853
1920-04-01,9.11413333333333,18.096780093863973
1920-07-01,9.568,20.17311175382055
1920-10-01,9.93603333333333,18.975177849698976
1921-01-01,8.89333333333333,4.658569923700506
1921-04-01,8.1696,-10.940637417736943
1921-07-01,7.99786666666666,-17.924935775698494
1921-10-01,7.28646666666666,-31.014913367847697
1922-01-01,6.8203,-26.539847322160306
1922-04-01,6.6854,-20.049390384868502
1922-07-01,6.5995,-19.218095086441856
1922-10-01,6.59953333333333,-9.901980684928823
1923-01-01,6.46453333333333,-5.357263309170945
1923-04-01,6.23156666666666,-7.029827165554159
1923-07-01,6.36643333333333,-3.5954492088656975
1923-10-01,6.48906666666666,-1.6880230078872627
1924-01-01,6.50133333333333,0.5676458004805207
1924-04-01,6.2561,0.3929215209186987
1924-07-01,6.36646666666666,0.0005235780274892576
1924-10-01,6.63636666666666,2.2445915587983256
1925-01-01,6.53813333333333,0.5644417619677045
1925-04-01,6.35416666666666,1.5553777929531387
1925-07-01,6.41546666666666,0.7667109311070286
1925-10-01,6.4768,-2.433806374002012
1926-01-01,6.29283333333333,-3.8240281950031596
1926-04-01,6.1947,-2.541667794111868
1926-07-01,6.32966666666666,-1.3464166114391496
1926-10-01,6.53813333333333,0.9425140459582648
1927-01-01,6.23153333333333,-0.9788996303596642
1927-04-01,6.04746666666666,-2.4054636191073397
1927-07-01,6.08426666666666,-3.9541371225604083
1927-10-01,6.207,-5.197401425896686
1928-01-01,6.05973333333333,-2.795662872429383
1928-04-01,6.05973333333333,0.20263431452329783
1928-07-01,6.08426666666666,0.0
1928-10-01,6.15786666666666,-0.7947290215149172
1929-01-01,6.04746666666666,-0.20263431452329783
1929-04-01,5.91256666666666,-2.458576541191948
1929-07-01,6.0352,-0.8097210232618224
1929-10-01,6.13333333333333,-0.3992021269536794
1930-01-01,5.91253333333333,-2.2565059992089243
1930-04-01,5.69173333333333,-3.8065199549747852
1930-07-01,5.76533333333333,-4.574602178820442
1930-10-01,5.704,-7.257069283483508
1931-01-01,5.50776666666666,-7.091517423021432
1931-04-01,5.38513333333333,-5.53727593128881
1931-07-01,5.336,-7.738666361541946
1931-10-01,5.40966666666666,-5.29802064463607
1932-01-01,5.36056666666666,-2.7089526457392266
1932-04-01,5.25093333333333,-2.523623185729207
1932-07-01,5.21473333333333,-2.2988356015782196
1932-10-01,5.25093333333333,-2.978163808492096
1933-01-01,5.11616666666666,-4.666423016714094
1933-04-01,5.02756666666666,-4.346973560283551
1933-07-01,5.16646666666666,-0.9298927767108722
1933-10-01,5.25093333333333,0.0
1934-01-01,5.15436666666666,0.7438791134158684
1934-04-01,5.10206666666666,1.4709583427572337
1934-07-01,5.25093333333333,1.6216813750281167
1934-10-01,5.28713333333333,0.6870357445455388
1935-01-01,5.17853333333333,0.46776240418233694
1935-04-01,5.17849999999999,1.4869752641344602
1935-07-01,5.28716666666666,0.6876662039297043
1935-10-01,5.4079,2.258465141927113
1936-01-01,5.35956666666666,3.436125014689684
1936-04-01,5.32333333333333,2.7584234512016303
1936-07-01,5.40786666666666,2.257218298436925
1936-10-01,5.55879999999999,2.752141018484844
