date,ffr,gdp_growth,cpi_inflation,pce_growth,unemployment,investment,net_exports,m2,bond10y,stock_growth,yen_dollar
1971-01-01,3.88843558766666,2.72072027080096,4.70056038326452,2.95156228154993,5.93333333333333,12.8125299697624,4.4,8.71688921971264,5.92,14.0963039072862,357.694566666666
1971-04-01,4.579060606,3.10537355932039,4.22330043279676,3.40613028057116,5.9,14.996482189458,-0.2,11.8310664322332,6.38666666666666,30.9423810213274,357.442666666666
1971-07-01,5.46443722933333,3.01297945191087,4.18151989719628,3.32799326162233,6.03333333333333,16.1172732300978,-0.1,12.5348401602193,6.37666666666666,21.7165953190274,350.401766666666
1971-10-01,4.72785011466666,4.36015701022755,3.47494681335126,5.24963818509978,5.93333333333333,18.5227560850866,-1.7,12.5524236362984,5.89666666666666,13.2200679265549,326.645066666666
1972-01-01,3.56136404433333,3.4116434850927,3.44559720374821,4.68135730254431,5.76666666666666,12.0309516448343,-3.5,12.3565858112668,6.08333333333333,11.1039732446746,306.8145
1972-04-01,4.300590909,5.18944140335709,3.17549819769906,5.66081880369841,5.7,14.4032549661673,-4.3,11.0498306309736,6.11333333333333,9.71271387503107,303.4515
1972-07-01,4.72294927533333,5.34842212258596,2.9850555560262,6.40033653374402,5.56666666666666,14.6801729545419,-2.6,11.4170675164872,6.36,14.5723859900392,301.103466666666
1972-10-01,5.15116666666666,6.70192483485198,3.27874693183322,7.07030516105541,5.36666666666666,19.782574332992,-3.1,12.0143866865107,6.36666666666666,20.5884946694588,301.079999999999
1973-01-01,6.511244019,7.45718708995738,4.02861530054941,7.55663715760656,4.93333333333333,18.5164303248993,-1.4,11.4009314470774,6.63666666666666,9.45999684413043,280.7034
1973-04-01,7.811139971,6.26400419157923,5.45641626525655,5.61368551498638,4.93333333333333,17.5031123531275,2.5,10.5500633764649,6.85666666666666,0.332027616456664,264.88
1973-07-01,10.5316708433333,4.77563144133477,6.60848195150064,4.43802214754518,4.8,12.9639648812908,6.4,8.64312927290563,7.19333333333333,0.378653202346514,265.082833333333
1973-10-01,9.97650793599999,4.09221051888972,8.08140451562596,1.82561820604495,4.76666666666666,16.5079750359448,9.0,6.65261831964902,6.76666666666666,-10.9257730313946,274.924933333333
1974-01-01,9.30947254533333,0.682624408767323,9.45202202947993,-0.865751360198509,5.13333333333333,4.86877523715033,6.4,6.13173201782444,7.14,-13.5897125144946,290.461866666666
1974-04-01,11.2007727266666,-0.211064737201261,10.0246264954155,-0.468651902731422,5.2,2.52873197146493,-2.7,5.70371497064995,7.60666666666666,-14.7894158097018,279.9035
1974-07-01,12.05272727,-0.670772878432773,10.8470764802459,-0.413230245925625,5.63333333333333,1.47785940961187,-7.0,5.37246081048337,7.97999999999999,-36.645161498158,297.4492
1974-10-01,9.30308422666666,-2.0148733094524,11.373714529561,-1.59438195309147,6.59999999999999,-0.701210508545627,0.0,5.61220031284532,7.61,-30.7417687005933,299.9503
1975-01-01,6.27947178533333,-2.35562005424132,10.5601514535952,0.117776270557436,8.26666666666666,-10.9877049716192,16.5,5.67027423275747,7.66666666666666,-12.4577728345739,293.097133333333
1975-04-01,5.42461760466666,-1.85158199778698,9.11414965243952,1.42445368334196,8.86666666666666,-15.164358608152,21.6,8.06498269080882,8.10333333333333,8.39123192229503,292.3645
1975-07-01,6.14424963933333,0.813344901442445,8.32673925537323,2.4294715578757,8.46666666666666,-3.14595480201295,12.0,10.5842989105292,8.3,23.7757351969604,298.086433333333
